Beds,Provider,"Federal Number"
80,"HOLMES COUNTY LONG TERM CARE CENTER - DURANT",255332
80,"MILFORD HEALTHCARE AND REHABILITATION CENTER",395466
80,"THE MADISON",165227
80,"LIMA CONVALESCENT HOME",366297
80,"MONTICELLO NURSING & REHAB CEN",165279
80,"REGENCY CARE OF LARCHWOOD",366359
80,"SAINT VINCENT REHABILITATION & NURSING CENTER",305066
80,"MERCY - MCAULEY CENTER",365650
80,"CALIFORNIA NURSING & REHABILITATION CENTER",056428
80,"NATIONAL CHURCH RESIDENCES CHILLICOTHE",366338
80,"THE OAKS AT LAKEWOOD",505347
80,"INDEPENDENCE HEALTH AND REHABILITATION CENTER",385188
80,"CUMBERLAND POINTE CARE CENTER",366177
80,"FRENCH PRAIRIE NURSING & REHABILITATION CENTER",385117
80,"YORK NURSING & REHABILITATION  CENTER",495342
80,"GRAND RIVER HEALTH & REHAB CENTER",365492
80,"WINDSOR SKYLINE CARE CENTER",055871
80,"ROLLING HILLS REHAB CTR",525430
80,"SEACREST POST-ACUTE CARE  CENTER",055070
80,"WILLIAMSPORT NURSING AND REHABILITATION",155568
80,"WARSAW MEADOWS",155566
80,"LAKESIDE AT WILLOW VALLEY",395771
80,"RAVENWOOD NURSING CARE CENTER",215113
80,"HEARTLAND CONTINUING CARE CENTER",325114
80,"AUGUSTANA CARE HASTINGS HEALTH AND REHABILITATION",245224
80,"CREEKSIDE HEALTHCARE CENTER",055099
80,"WOODLANDS NURSING & REHABILITATION CENTER",345481
80,"PINE VALLEY COMMUNITY VILLAGE",525365
80,"DESERT SPRINGS HEALTH CARE",325129
80,"REST HAVEN NURSING HOME INC",365448
80,"LIBERTY COMMONS NSG AND REHAB CTR OF LEE COUNTY",345532
80,"BELAIRE HEALTH CARE CENTER",345457
80,"WILLOW TREE CARE CENTER",065249
80,"SMITH RANCH SKILLED NURSING & REHABILITATION CENTE",555595
80,"GOODWIN HOUSE ALEXANDRIA",495057
80,"YBOR CITY CENTER FOR REHABILITATION AND HEALING",105891
80,"WESTMINSTER WINTER PARK",105879
80,"CLEAR CREEK CARE CENTER",065120
80,"PLEASANTVIEW HOME",165470
80,"HERITAGE HEALTH CARE CENTER",365401
80,"STONEGATE HEALTH CAMPUS",235661
80,"THE MISSION AT AIR FORCE VILLAGE",676041
80,"GOOD SAMARITAN SOCIETY -  GRANTS",325058
80,"BEECHWOOD HOME FOR INCURABLES",365445
80,"VAL VERDE NURSING AND REHABILITATION CENTER",675395
80,"ROME MEMORIAL HOSPITAL, INC - R H C F",335563
80,"MACOMB POST ACUTE CARE CENTER",145021
80,"CALHOUN NURSING & REHAB CENTER",145910
80,"ONALASKA CARE CENTER",525443
80,"EAST SIDE NURSING HOME",335511
80,"ELROY HEALTH SERVICES",525452
80,"MCCRITE PLAZA HEALTH CENTER",175171
80,"NEW BEDFORD JEWISH CONVALESCENT HOME, INC",225481
80,"RIVERSIDE CENTER FOR REHABILITATION AND NURSING",335525
80,"PERRYSBURG HEALTHCARE AND REHABILITATION CENTER.",365624
80,"WARREN CENTER FOR REHABILITATION AND NURSING",335549
80,"ALTERCARE OF BUCYRUS CENTER FO",365625
80,"STORY COUNTY HOSPITAL LTC",16E277
80,"AZALEA HEALTH & REHAB CENTER",345557
80,"OAKWOOD HEALTH SERVICES",525454
80,"FINGER LAKES CENTER FOR LIVING",335785
80,"GUTHRIE CORTLAND MEDICAL CENTER",335768
80,"ALEDO REHAB & HEALTH CARE CENTER",145886
80,"FRESNO POSTACUTE CARE",555426
80,"HIGHLAND PARK REHABILITATION AND NURSING CENTER",335210
80,"OAK HILLS NURSING CENTER",365550
80,"STONEBRIDGE NURSING & REHAB",146144
80,"HIDDEN VALLEY CENTER",515147
80,"MINOT HEALTH AND REHAB, LLC",355031
80,"IVY COURT",135053
80,"WESTMINSTER-CANTERBURY OF LYNCHBURG INC",495120
80,"THE WATERS OF UNION CITY , LLC",445138
80,"HILDEBRAND CARE CENTER",065179
80,"BELLE VIEW ESTATES REHABILITATION AND CARE CENTER",045239
80,FORESTVIEW,395907
80,"PROMEDICA SKILLED NSG & REHAB GROSSE POINTE WOODS",235109
80,"HOLLIS PARK MANOR NURSING HOME",335333
80,"CENTER AT CENTENNIAL, THE",065390
80,"COLONIAL PARK REHABILITATION AND NURSING CENTER",335233
80,"PEAK RESOURCES - BROOKSHIRE, INC",345439
80,"PARK PLACE OF BELVIDERE",146071
80,"DEFIANCE HEALTHCARE AND REHABILITATION CENTER",365507
80,"ECKERD LIVING CENTER",345437
80,"WELLINGTON REHABILITATION AND HEALTHCARE",345436
80,"THE LAURELS OF SALISBURY",345428
80,"COURTENAY SPRINGS VILLAGE",105463
80,"BENNETT HILLS REHABILITATION AND CARE CENTER",135134
80,"EDGEWOOD MANOR REHABILITATION  & HEALTHCARE CENTER",365489
80,"GREENBRIER HEALTH CARE CENTER",515185
80,"PINE HEIGHTS AT BRATTLEBORO CENTER FOR NURSING & R",475023
80,"GRAHAM HEALTHCARE AND REHABILITATION CENTER",345355
80,"BRANTWOOD NH & RETIREMENT CENT",345412
80,"DEER'S HEAD CENTER",215132
80,"BROOK STONE LIVING CENTER",345394
80,"HAWTHORNE INN OF DANVILLE",146090
80,"HICO NURSING AND REHABILITATION",675468
80,"ST FRANCIS HOME",245265
80,"TROY CENTER FOR REHABILITATION AND NURSING",335280
80,"WESTERN NORTH CAROLINA BAPTIST HOME",345432
80,"LONOKE HEALTH AND REHAB CENTER, LLC",045289
80,"ROCK CREEK OF OTTAWA",175332
80,"CHESTNUT PARK REHABILITATION AND NURSING CENTER",335243
80,"ORONO COMMONS",205031
80,"TRI-COUNTY NURSING HOME",105770
80,"MEDILODGE OF WYOMING",235630
80,"COLONIAL HEALTH AND REHABILITATION CENTER",065225
80,"RICE NURSING HOME",425387
80,"PINE ARBOR",675391
80,"MILNER COMMUNITY HEALTH CARE",155676
80,"WESLEY ACRES",165487
80,"GREYSTONE NURSING AND REHAB, LLC",045453
80,"HIGHLANDS AT WYOMISSING",395800
80,"PAYETTE HEALTHCARE OF CASCADIA",135015
80,"DENVER NORTH CARE CENTER",065323
80,"SILVER OAKS HEALTH CAMPUS",155693
80,"TWIN LAKES THERAPY AND LIVING",045280
80,"ARBOR HILLS REHABILITATION AND HEALTHCARE CENTER",676361
80,"MEDILODGE OF CASS CITY",235286
80,"NORTHAMPTON NURSING AND REHABILITATION CENTER",345313
80,"CASS COUNTY MEDICAL CARE FACIL",235352
80,"THE WATERVIEW WOODS LLC",245277
80,"ELDERBERRY HEALTH CARE",345319
80,"BRIAN CENTER HEALTH & REHABILITATION WALLACE",345323
80,"HAWKEYE CARE CENTER DUBUQUE",165565
81,"MARY ANNA NURSING HOME",195605
81,"BISHOP NOA HOME FOR SENIOR CITIZENS",235651
81,"HERITAGE HILLS LIVING & REHABILITATION CENTER",375317
81,"BRIAN CENTER HEALTH AND REHABILITATION/WILSON",345332
81,"COUNTRY OAKS CARE CENTER",055247
81,"VILLAGE HEALTHCARE AND REHABILITATION",675689
81,"DUNBAR HEALTH & REHAB CENTER",366157
81,"WILLOW PASS HEALTHCARE CENTER",055241
81,"EXETER CENTER",305064
81,"VILLAGE AT ST EDWARD NRSG CARE",365836
81,"EDGEWATER WOODS",155066
81,"BROOKSIDE REHABILITATION AND HEALTHCARE CENTER",225483
81,"ALTERCARE NEWARK NORTH INC.",365481
81,"FRANKLIN RIDGE HEALTHCARE CENTER",365595
81,"CORN HERITAGE VILLAGE AND REHAB OF WEATHERFORD",375530
81,"CEDARS OF LEBANON NURSING CENTER",185267
81,"EDENBROOK OF ROCHESTER",245409
81,"EDGEWATER SKILLED NURSING CENTER",055387
81,"BAY AT SHERIDAN HEALTH AND REHABILITATION (THE)",525318
81,"POLO REHABILITATION & HCC",145727
81,"PINE KNOLL NURSING CENTER",225049
81,"WATERS OF INDIANAPOLIS, THE",155409
81,"EASTRIDGE NURSING CENTER",195553
81,"WHEATON FRANCISCAN HC - TERRACE AT ST FRANCIS",525552
81,"CONSULATE HEALTH CARE OF SARASOTA",105983
81,"SPARTA HEALTH AND REHABILITATION",115382
81,"SUNSET MANOR CONV HOSP",055104
81,"MILLER'S HEALTH & REHAB BY MILLER'S MERRY MANOR",155297
81,"SOUTH HAMPTON NURSING & REHABILITATION CENTER",015448
81,"WILLIAM HOOD DUNWOODY CARE CTR",395329
81,"THE GRANDVIEW NURSING AND REHABILITATION FACILITY",185042
81,"VILLA MARIA POST ACUTE",055830
81,"ROSSVILLE HEALTHCARE & REHAB CENTER",175397
81,"AZRIA HEALTH PARK PLACE",165202
81,"WILLIAM E CHRISTOFFERSEN SALT LAKE VETERANS HOME",465150
81,"STANTON NURSING AND REHABILITATION CENTER",185352
81,"ELEVATION HEALTH AND REHABILITATION CENTER",065208
81,"PORTER HILLS HEALTH CENTER",235310
81,"THE VIRGINIAN",495319
81,"DURGIN PINES",205132
81,"ST JOSEPH MANOR",675887
81,"WINDSOR POST-ACUTE CENTER OF ARVIN",555170
81,"HAVEN HALL HEALTH CARE CENTER",255221
81,"COUNTRY VILLA WILSHIRE CONVALESCENT CENTER",055710
81,"EVENTIDE JAMESTOWN",355078
81,"GOOD SHEPHERD VILLAGE",366236
81,"AVENTURA AT CREEKSIDE",395984
81,"WIND RIVER REHABILITATON AND WELLNESS",535031
81,"CRIMSON HEIGHTS HEALTH & WELLNESS",676463
81,"GRIFFITH PARK HEALTHCARE CENTER",056111
81,"DJ JACOBETTI HOME FOR VETERANS",235724
81,"HEARTLAND NURSING & REHAB",145416
81,"HAWTHORNE HOUSE",205098
81,"BURBANK PARKE CARE CENTER",366392
81,"CLAIBORNE HEALTHCARE CENTER",195316
82,"GOOD SAMARITAN SOCIETY - PIPESTONE",245591
82,"OAHU CARE FACILITY",125042
82,"MOMENTOUS HEALTH AT BATTLE CREEK",235536
82,"SIGNATURE HEALTHCARE OF BREMEN",155474
82,"LONGHOUSE-NORTHSHIRE, LTD",165449
82,"THE LAURELS OF CHAGRIN FALLS",366274
82,"GREENVILLE HEALTH & REHABILITATION CENTER",675020
82,"SAUK CO HEALTH CARE CENTER",525114
82,"CRESTWOOD CENTER",305061
82,"SOUTHERN OAKS CARE CENTER",375378
82,"MARGARET E. MOUL HOME",396064
82,"ONONDAGA CENTER FOR REHABILITATION AND NURSING",335548
82,"COUNTRYSIDE MANOR NURSING AND REHABILITATION  LLC",365418
82,"THE OAKS REHABILITATION AND HEALTHCARE CENTER",255261
82,"AUTUMN LAKE HEALTHCARE AT ARLINGTON WEST",215349
82,"SAGE VIEW CARE CENTER",535056
82,"ORCHARD HOSPITAL D/P SNF",555776
82,"CANTERBURY VILLA OF ALLIANCE",366214
82,"CAMDENTON WINDSOR ESTATES",265091
82,"WILLOWBROOKE COURT-GRANITE",395736
82,"GLENBROOK REHABILITATION & SKILLED NURSING CENTER",155176
82,"TRINITY VILLAGE",345152
82,"RIVERSIDE NURSING AND REHABILITATION CENTER",676246
82,"MOUNTAINSIDE RESIDENTIAL CARE CENTER",335339
82,"RIDGEWOOD REHABILITATION & CARE CENTER",285279
82,"MILLER'S AT OAK POINTE",155128
82,"GARDENS AT STEVENS, THE",395575
82,"FIDDLERS GREEN MANOR REHAB AND NURSING CENTER",335457
82,"MEDICALODGES GARDNER",175243
82,"YORKTOWN NURSING AND REHABILITATION CENTER",675071
82,"O'NEILL HEALTHCARE MIDDLEBURG HEIGHTS",365702
82,"SHIPLEY MANOR",085031
82,"GOOD SAMARITAN SOCIETY - FAIRLAWN VILLAGE",385133
82,"ELLIS RESIDENTIAL & REHABILITATION CENTER",335705
82,"LAKEVIEW METHODIST HEALTH CARE CENTER",245280
82,"CHERRY BLOSSOM HEALTH AND REHABILITATION",115652
82,"CALIMESA POST ACUTE",056365
82,"PENN NURSING CENTER",345530
82,"RIVER TERRACE REHABILITATION AND HEALTHCARE CTR",225210
82,"AYDEN COURT NURSING AND REHABILITATION CENTER",345490
82,"HERITAGE NURSING CENTER",195518
82,"KENWOOD VIEW HEALTHCARE AND REHABILITATION CENTER",175200
82,"BREMOND NURSING AND REHABILITATION CENTER",675132
82,"WINDSONG NURSING & REHAB",365707
82,"ENGLEWOOD POST ACUTE AND REHABILITATION",065077
82,"MONROVIA POST ACUTE",055259
82,"SENIOR SUITES HEALTHCARE",375528
82,"AYDEN HEALTHCARE OF JACKSON",365393
82,"SHANOAN SPRINGS NURSING AND REHABILITATION",375362
82,"STONE REHABILITATION AND SENIOR LIVING",225683
82,"ELDERWOOD AT NORTH CREEK",335429
82,"MIAMI NURSING CENTER, LLC",375388
82,"N J EASTERN STAR HOME",315419
82,"CATHERINE KASPER HOME",155700
82,"PRINCETON MANOR HEALTHCARE CENTER, LLC",055876
82,"KENSINGTON CENTER",185443
82,"COLOROW HEALTH CARE LLC",065354
82,"THE CALIFORNIAN-PASADENA",055480
82,"ALLEGRA NURSING AND REHAB",235016
82,"LIBERTY COMMONS REHABILITATION CENTER",345468
82,"EMERALD CARE",505265
82,"MOUNTAIN VIEW REHABILITATION AND CARE CENTER",505407
82,"OXNARD MANOR HEALTHCARE CENTER",056379
82,"CEDARWOOD GARDENS",225461
82,"GOWER CONVALESCENT CENTER, INC",265800
82,"HUNTINGTON WOODS CARE & REHAB CENTER",366362
82,"BEARTOOTH MANOR",275090
82,"ASH GROVE HEALTHCARE FACILITY",265571
82,"FOCUSED CARE AT HAMILTON",675140
82,"WINDSOR HEALTHCARE RESIDENCE",675139
82,"MINEOLA HEIGHTS HEALTHCARE CENTRE",675981
82,"LIFE CARE CENTER OF KANSAS CITY",175281
82,"BEAUMONT HEALTH CARE CENTER",455561
82,"FRIENDS NURSING HOME",215211
82,"CATHEDRAL VILLAGE",395467
82,"CLEARVIEW HOME",165269
82,"MIDTOWN MANOR",465124
82,"WILLOWBROOKE COURT AT AZALEA TRACE",105444
82,"HOMEWOOD AT WILLIAMSPORT MD",215225
82,"THE CENTER FOR NURSING AND REHAB AT HOOSICK FALLS",335601
82,"CHECOTAH NURSING CENTER",375140
82,"PAVILION , THE",225503
82,"PRUITTHEALTH - FAIRBURN",115506
82,"VANCREST HEALTH CARE CENTER OF EATON",366084
82,"GRANDVIEW NURSING AND REHABILITATION CENTER",675369
82,"CAPRI GARDENS",366472
82,"RICHBORO REHABILITATION & NURSING CENTER",395217
82,"VALLEY VIEW MANOR NURSING HOME",335208
82,"AVENUE AT WOOSTER",366463
82,"LOCKPORT REHAB & HEALTH CARE CENTER",335573
82,"INDIAN HILLS MANOR",285091
82,"CEDAR FALLS HEALTH CARE CENTER",165197
82,"KNOLLWOOD NURSING CENTER",225016
82,"TERRACE VIEW GARDENS",366153
82,"LAURELS OF CARSON CITY",235636
82,"NIXA NURSING & REHAB",265322
82,"CALERA MANOR",375519
82,"THE PAVILION AT KENTON",185038
82,"WOOD DALE HEALTH AND REHABILITATION",115374
82,"SOUTHRIDGE SPECIALTY CARE",165209
82,"ST JOSEPHS HOME",335087
82,"DIBOLL NURSING AND REHAB",675907
82,"ADORA MIDTOWN PARK",676451
82,"ABBINGTON REHAB & NURSING CTR",146065
82,"MEMORIAL CARE CENTER",145102
82,"CLEBURNE COUNTY NURSING HOME",015053
82,"BENEDICTINE MANOR OF WAUSAU",525503
83,"WILLOW RIDGE HEALTHCARE",525402
83,"THREE SPRINGS LODGE NURSING HOME, LLC",145497
83,"BAY AT BELMONT HEALTH AND REHABILITATION CENTER",525074
83,"JEFFERSON HILLS HEALTHCARE AND REHABILITATION CENT",395066
83,"ARBOR GROVE VILLAGE",155625
83,"SEAVIEW NURSING AND REHABILITATION CENTER",105258
83,"WOODCREST AT BLAKEFORD",445378
83,"SEVEN HILLS PEDIATRIC CENTER",225781
83,"WESTBROOK HEALTHCARE, INC",375193
83,"PRUITTHEALTH - OCILLA",115608
83,"ST. JOSEPH'S REHABILITATION & CARE CENTER",285160
83,"LARKSFIELD PLACE",175181
83,"SONOMA POST ACUTE",055268
83,"TIVOLI AT DIVINE SAVIOR HEALTHCARE",525518
83,"SOUTH HEALTH AND REHABILITATION, LLC",015097
83,"WASHINGTON SQUARE HEALTHCARE CENTER",365784
83,"ANAHEIM CREST NURSING CENTER",555445
83,"THE GOLDEN RULE HOME",375513
83,"HAVEN OF FLAGSTAFF",035091
83,"BETHANY ON THE LAKE LLC",245434
83,"CATERED MANOR NURSING CENTER",056150
83,"FAITH HAVEN SENIOR CARE CENTRE",235359
83,"HERITAGE CENTER FOR REHAB AND SPECIALITY CARE",365566
83,"GOLDEN AGE NURSING HOME",265718
83,"POUDRE CANYON HEALTH AND REHABILITATION CENTER",065166
83,"TIMBERWOOD NURSING AND REHABILITATION CENTER",455745
83,"KIOWA HILLS HEALTH AND REHABILITATION CENTER",065175
83,"PRUITTHEALTH - MONROE",115379
83,"SIGNATURE HEALTHCARE OF COSHOCTON",365880
83,"ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C",335533
83,"TREND HEALTH AND REHAB OF BROOKHAVEN",255162
83,"CLAY COUNTY NURSING HOME",015124
83,"THE WATERVIEW PINES LLC",245283
83,"OSKALOOSA CARE CENTER",165589
83,"HAPPY VALLEY NURSING & REHABILITATION",045459
83,"LAKE VIEW CARE CENTER",275094
83,"HILLSIDE HEIGHTS REHABILITATION CENTER",385046
83,"CLARION HEALTHCARE AND REHABILITATION CENTER",395707
83,"HELIA HEALTHCARE OF BENTON",146088
83,"PRAIRIE ACRES",675443
83,"PRESTIGE CARE AND REHABILITATION - MENLO PARK",385044
83,"CAMELLIA GARDENS OF LIFE CARE",115570
83,"JAFFREY REHABILITATION AND NURSING CENTER",305072
83,"THE MEADOWS ON UNIVERSITY",355024
83,"OUR LADY OF ANGELS RET HOME",146126
83,"SOMERSET SENIOR LIVING AT CROSSETT",045190
83,"CEDARVIEW CARE CENTER",365690
83,"THORNWALD HOME",395802
83,"WESTVIEW OF INDIANOLA CARE CENTER",165369
83,"PRESTIGE CARE & REHABILITATION - CAMAS",505273
83,"WINFIELD REHAB & NURSING",675976
83,"BROOKFIELD HEALTH AND REHAB OF CASCADIA",505331
83,"THE VINEYARDS HEALTHCARE CENTER",055212
83,"ASTORIA SKILLED NURSING AND REHABILITATION",366391
83,"TOMAHAWK HEALTH SERVICES",525334
83,"CLARK REHABILITATION AND SKILLED NURSING CENTER",155697
83,"LINDA VALLEY CARE CENTER",055299
83,"WESTFIELD REHABILITATION AND HEALTH CENTER",345216
83,"CAMBRIDGE REHABILITATION & NURSING CENTER",225520
83,"VILLA MARIA CARE CENTER",035147
83,"ARMENIAN NURSING & REHABILITATION CENTER",225417
83,"MN VETERANS HOME SILVER BAY",245628
83,"MONTROSE BAY HEALTH AND REHAB",015447
83,"BIG MEADOWS",14E701
83,"THE PAVILION REHABILITATION AND NURSING CENTER",366158
83,"AHC MEADOWBROOK",445443
84,"HABERSHAM HOME",115099
84,"FAIRVIEW HEALTHCARE RESIDENCE",675311
84,"FOUR OAKS HEALTH CARE CENTER",445458
84,"PARKVUE HEALTH CARE CENTER",365997
84,"FOUNTAINS REHABILITATION AT MILL COVE",105927
84,"IGNITE MEDICAL MCHENRY",146195
84,"EAGLEVIEW HEALTH AND REHABILITATION",315014
84,"MYERS NURSING & CONVALESCENT CENTER",26E084
84,"KNOX CENTER FOR LONG TERM CARE",205124
84,"MILLER'S MERRY MANOR",155150
84,"ST ANTHONY PARK HOME",245063
84,"MOORINGS OF ARLINGTON HEIGHTS",146007
84,"OAKS AT DENVILLE, THE",315329
84,"HEATHERDOWNS REHAB & RESIDENTIAL CENTER",365737
84,"GREENBRIER NURSING AND REHABILITATION CENTER",045381
84,"NORTH OTTAWA CARE CENTER",235373
84,"ENVOY AT THE MEADOWS",495236
84,"QUAIL RUN HEALTH CARE CENTER",265353
84,"SHADY ACRES HEALTH AND REHABILITATION CENTER",676055
84,"CUMBERLAND VALLEY MANOR",185270
84,"AVAMERE BELLINGHAM HEALTH CARE & REHAB SERVICES",505223
84,"CROSSROADS CARE CENTER OF WEYAUWEGA",525315
84,"HALE KUPUNA HERITAGE HOME, LLC",125062
84,"HARRISON PAVILION CARE CENTER",365065
84,"RENNES HEALTH AND REHAB CENTER-WESTON",525699
84,"REGENT PARK REHABILITATION AND HEALTHCARE",175527
84,"CONCORD CARE CENTER OF TOLEDO",365030
84,"AGAPE NURSING AND REHABILITATION CENTER, LLC",445162
84,"DEVONSHIRE ACRES",065150
84,"SUNSHINE HEALTH & REHAB",505411
84,"ACCURA HEALTHCARE OF MARSHALLTOWN",165451
84,"ROCK CREEK CARE CENTER",055446
84,"GOOD SAMARITAN LIVING CENTER",195612
84,"AVERA BRADY HEALTH AND REHAB",435061
84,"MALA STRANA CARE & REHABILITATION CENTER",245514
84,"NATHAN LITTAUER HOSPITAL NURSING HOME",335351
84,"ARBOR CARE CENTERS-O'NEILL LLC",285108
84,"THE HEIGHTS",676181
84,"HOLY ROSARY EXTENDED CARE UNIT",275106
84,"GOOD SHEPHERD LUTHERAN HOME",285148
84,"TRI-STATE VILLAGE NRSG & RHB",145879
84,"RIVERIDGE REHABILITATION AND HEALTHCARE CENTER",235598
84,"LANFAIR CENTER FOR REHAB & NSG CARE INC",366215
84,"MILLER'S MERRY MANOR",155006
84,"TRINITY CARE CENTER",245250
84,"THE ALVERNO SENIOR CARE COMMUNITY",165509
84,"MONUMENT HEALTH STURGIS CARE CENTER",435102
84,"ST MARYS HOME FOR THE AGED",525609
84,"SHIELDS RICHMOND NURSING CENTER",055292
84,"RIVER HILLS VILLAGE IN KEOKUK",165396
84,"WHITE HOUSE HEALTH CARE INC",445513
84,"RADFORD GREEN",146136
84,"MACON HEALTH CARE CENTER",265163
84,"MEDILODGE OF TRAVERSE CITY",235336
84,"SUNNYSIDE PRESBYTERIAN RETIREMENT COMMUNITY",495387
84,"AVALON PLACE",396075
84,"CORNING THERAPY AND LIVING CENTER",045433
84,"CENTURY VILLA HEALTH CARE",155510
84,"THE OSBORN",335797
84,"HEAVENER NURSING & REHAB",375434
84,"VILLA DEL RIO GARDENS",555780
84,"WATKINS-LOGAN-GARRISON TEXAS STATE VETERAN'S HOME",676311
84,"ST JOHNS ON FOUNTAIN LAKE",245635
84,"PEMBROKE CENTER",345409
84,"LYNWOOD MANOR HEALTHCARE CENTER",235182
84,"AVAMERE REHABILITATION OF LEBANON",385168
84,"SUNRISE MANOR CTR FOR NURSING AND REHABILITATION",335568
84,"MOUNT SAN ANTONIO GARDENS",055016
84,"MONT MARIE REHABILITATION & HEALTHCARE CENTER",225556
84,"BEREA HEALTH AND REHABILITATION",185384
84,"LINN HEALTH AND REHABILITATION",415090
84,"SOUTHFORK RIVER THERAPY AND LIVING",045248
84,"AUTUMN CARE OF MADISON",495244
84,"ELDERWOOD AT TICONDEROGA",335482
84,"THE WATERS OF JOHNSON CITY, LLC",445487
84,"AVENTURA AT SHILOH SPRINGS",366302
84,"ROCKDALE ESTATES & REHABILITATION",676093
