Beds,Provider,"Federal Number"
15,"ATRIUM HEALTH NAVICENT BALDWIN",115649
15,"PETERSBURG MEDICAL CENTER LTC",025019
15,"TRANSITIONAL CARE UNIT",365807
15,"PASSAVANT AREA HOSPITAL",145951
15,"THE CARDINAL AT NORTH HILLS",345572
16,"HOPE CARE CENTER",26A443
16,"WILLOWBROOKE COURT-SPRING HOUS",395495
16,"T J SAMSON COMMUNITY HOSPITAL",185387
16,"LAKE REGIONAL HEALTH SYSTEMS",265429
16,"JOHN T MATHER MEMORIAL HOSP T C U",335853
16,"ROLLING MEADOWS",676203
16,"JOHN C. FREMONT HEALTHCARE DISTRICT DP/SNF",055283
16,"TERRACES AT PEACHTREE HILLS PLACE, THE",115773
16,"SENECA DISTRICT HOSPITAL D/P SNF",555022
16,"REDLANDS COMM HOSP D/P SNF",555642
16,"THE ARBOR",345539
16,"GIBSON COMMUNITY HSP ANNEX",145979
16,"ST ELIZABETH FLORENCE SNF",185394
16,"WESLEY WOODS AT NEW ALBANY",366470
16,"WAR MEMORIAL HOSPITAL",51E150
16,"NEW YORK-PRESBYTERIAN / QUEENS T C U",335862
16,"ADVANCED HEALTH CARE OF SALEM",465189
16,"MONTEFIORE NYACK HOSPITAL T C U",335877
16,"STRAWBERRY POINT LUTHERAN HOME",165135
16,"UPMC NORTHWEST TRANSITIONAL CARE UNIT",395966
16,"THE HSC PEDIATRIC SKILLED NURSING FACILITY",095040
16,"GROVER C DILS MEDICAL CENTER SNF",295026
17,"MERCYHEALTH JAVON BEA HOSPITAL -SNF",146196
17,"LAWRENCE MEMORIAL HOSPITAL SNF",175151
17,"SNU ARMSTRONG CO MEMORIAL HOSP",395890
17,"HILDEGARD HEALTH CENTER",15E681
17,"SOUTHSIDE CARE CENTER",24E507
17,"JUNIPER VILLAGE AT BUCKS COUNTY REHAB AND SKD CARE",395864
17,"JEROLD PHELPS COMM HOSP SNF",555516
17,"AUGUSTA MEDICAL CTR SKILLED CA",495214
17,"HEALDSBURG HOSPITAL D/P SNF",555590
17,"LAKES AT LITCHFIELD",425380
18,"CARMEL HOME",185226
18,"USC VERDUGO HILLS HOSPITAL DP/SNF",555484
18,"QUYANNA CARE CENTER",025026
18,"UTUQQANAAT INAAT",025035
18,"YUKON KUSKOKWIM ELDER'S HOME",025037
18,"RANGER CARE CENTER",676017
18,"MORRIS NURSING HOME",366233
18,"PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA- CLINTO",425393
18,"LAREDO MEDICAL CENTER",675268
18,"BRECKINRIDGE MEMORIAL NURSING FACILITY",185285
18,"RETREAT AT THE STRATFORD, THE",155794
18,"SOUTHWEST MEDICAL CENTER SNF",175163
18,"WITHAM EXTENDED CARE",155832
18,"LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE",195639
18,"LEE MEMORIAL HOSPITAL SKILLED NURSING UNIT",106113
18,"SALEM MEMORIAL DISTRICT HOSPITAL",26A381
18,"SUMMIT SQUARE",495405
19,"HAVASU REGIONAL MEDICAL CENTER",035287
19,"LUTHER OAKS",146184
19,"WHITTIER WESTBOROUGH TRANSITIONAL CARE UNIT",225778
19,"WESTON SENIOR LIVING CENTER AT HIGHFIELD",085055
19,"SERVICIOS INTEGRADOS DE REHABILITACION (SIRO) INC",405029
19,"ST ALEXIUS TRANSITIONAL CARE UNIT",355117
19,"SCHEURER HOSPITAL LTCU",23E362
19,"HOMESTEAD NURSING AND REHABILITATION OF BAIRD",675364
19,"MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY",555906
19,"PRESBYTERIAN CTR FOR CONT CARE",395749
19,"THE ROYAL HOME",05A192
19,"PARK REST HARDIN COUNTY HEALTH CENTER",44E446
19,"MCLAREN LAPEER REGION",235577
19,"ST. MARY'S HOSPITAL",515113
19,"SHARON TOWERS",345564
19,"MERCYONE CENTERVILLE MEDICAL CENTER",16E728
20,"MOUNTAIN VIEW CARE CENTER",275148
20,"THE VILLAGE AT ORCHARD RIDGE",495415
20,"GAYE HAVEN INTERMEDIATE CARE FACILITY",29E021
20,"HENDRICK SKILLED NURSING FACILITY",455683
20,"TIFFIN REHABILITATION CENTER",366438
20,"KAUAI VETERANS MEMORIAL HOSPITAL",125021
20,EASTMONT,285036
20,"EAST CASCADE RETIREMENT COMMUNITY, LLC",385181
20,"MOUNT VERNON HEALTH AND REHABILITATION CENTER",366412
20,"WILLOW RIDGE OF MENNONITE HOME COMMUNITIES OF OHIO",366402
20,"BLESSING HOSPITAL SNU",145643
20,"BUCKNER WESTMINSTER PLACE",676167
20,"MERCYONE SIOUXLAND MEDICAL CENTER",165620
20,"POWER COUNTY NURSING HOME",135066
20,"MOUNT SINAI SOUTH NASSAU T C U",335871
20,"ARTHUR B HODGES CENTER, THE",515193
20,"WINDSOR MEDICAL CENTER INC",366456
20,"EMERSON REHABILITATION & TRANSITIONAL CARE UNIT",225692
20,"HI'OLANI CARE CENTER AT KAHALA NUI",125055
20,"THE KNOLLS",335844
20,"DAKOTA  ALPHA",355101
20,"UPSTATE UNIVERSITY HOSP AT COMMUNITY GENERAL T C U",335870
20,"OTTERBEIN NORTH SHORE",366358
20,"COVENANT MEDICAL CENTER,  INC",235585
20,"ST LUKE'S REHAB - ELKS SUB ACUTE REHAB UNIT",135114
20,"PRAIRIEVIEW AT THE GARLANDS",146118
20,"REHABILITATION CENTER AT BRETHREN VILLAGE LLC",396140
20,"KENDAL AT GRANVILLE",366314
20,"SIGNATURE HEALTHCARE AT U OF L MARY & ELIZABETH H",185477
20,"MARSH'S EDGE",115718
20,"VALLEY HEALTH CENTER",235649
20,"MOUNTAINS COMMUNITY HOSP DPSNF",555467
20,"PHELPS HEALTH",265327
20,"FORKS COMMUNITY HOSPITAL, LTCU",50A174
20,"MEADOW LAKE HEALTH CENTER",676286
20,"DAVIS HEALTH & WELLNESS CTR AT CAMBRIDGE VILLAG",345568
20,"FORREST GENERAL HOSPITAL SKILLED NURSING UNIT",255335
20,"ALDERSLY SKILLED NURSING FACILITY",555694
20,"WHITTIER BRADFORD TRANSITIONAL CARE UNIT",225783
20,"REGIONAL ONE HEALTH SUBACUTE CARE",445521
20,"FRIENDS HOMES WEST",345474
20,"OTTERBEIN SUNSET HOUSE",366148
20,"MAPLE VIEW MANOR",366227
20,"ST JOHN'S PENFIELD HOMES",335863
20,"VILLAGE AT HILLSIDE",385269
20,"CLARA MAASS MEDICAL CENTER",315505
20,"KINGS DAUGHTERS MEDICAL CENTER",185480
20,"GRAND AVENUE REST HOME",24E150
20,"CITIZENS MEDICAL CENTER",675086
20,"UPMC MAGEE-WOMENS HOSPITAL TCU",396098
21,"LAKE MINNETONKA CARE CENTER",245606
21,"HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE D/P SNF",555753
21,"MELLEN MANOR HEALTH & REHABILITATION",525697
21,"HRH TRANSITIONAL CARE UNIT(A D/B/A ENTITY OF HRHS)",395861
21,"BEACON HILL",145522
21,"SOUTHERN CALIFORNIA HOSP AT CULVER CITY D/P SNF",555874
21,"MIRABELLA AT ASU",035300
21,"BEAR VALLEY COMMUNITY HOSPITAL",555468
21,"NEW ENGLAND SINAI HOSPITAL TRANSITIONAL CARE UNIT",225784
21,"GARFIELD COUNTY NURSING HOME",46A072
21,"STRAND-KJORSVIG COMMUNITY REST HOME",435125
22,"WOOSTER COMMUNITY HOSPITAL SNF",366405
22,"MERCYONE NORTH IOWA MEDICAL SERVICES",165183
22,"VINEYARDS AT CONCORD, THE",366360
22,"PROVIDENCE KODIAK ISLAND MED LTC",025030
22,"ORCHARD CREEK SKILLED NURSING",235611
22,"ST JOSEPH RESIDENCE",305088
22,"WHITTIER HOSPITAL MEDICAL CTR D/P SNF",555589
22,"SURPRISE VALLEY COMMUNITY HOSPITAL D/P SNF",555221
22,"WINDSORMEADE OF WILLIAMSBURG",495402
22,"STILL HOPES EPISCOPAL RETIREMENT COMMUNITY",425401
22,"PRESBYTERIAN HOME OF SOUTH CAROLINA-COLUMBIA",425396
22,"WILMOT CARE CENTER INC",435119
22,"CANDLER SKILLED NURSING UNIT",115610
22,"CARITAS CENTER, INC",175534
22,"WEST ANAHEIM MEDICAL CENTER D/P SNF",555883
22,"ST LUKE'S HOSPITAL SACRED HEART CAMPUS TCF",395926
22,"SHERMAN OAKS HOSPITAL SNF DP",555885
22,"PRESBYTERIAN HOME OF SC - FOOTHILLS",425403
22,"PENN STATE HEALTH TRANSITIONAL CARE",396134
22,"SUNPORCH OF SMITH COUNTY",175565
22,"PALO ALTO COUNTY HOSPITAL",16E668
22,"BRIAR CREEK HEALTH CENTER",345578
23,"THE HOME PLACE AT MIDWAY",185479
23,"SPRINGS AT WATERMARK 3030 PARK, THE",075440
23,"MERCY CIRCLE",146174
23,"RIDDLE MEMORIAL HOSP HB SNF",395741
23,"BAPTIST MEMORIAL HOSPITAL GT",255230
23,"REST HAVEN NURSING HOME",366107
23,"SANFIELD REHAB & LIVING CENTER",205174
23,"OAKS HEALTH CTR AT THE MARSHES OF SKIDAWAY ISLAND",115715
23,"KINDRED HOSPITAL EAST GREENSBORO",345273
23,"RUSSELL REGIONAL HOSPITAL LTCU",17E619
23,"BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL SKIL",455069
23,"SAN LUIS TRANSITIONAL CARE",555592
24,"PATTY ELWOOD CENTER",165527
24,"CARE CONNECTION RAHWAY",315146
24,"COFFEY COUNTY HOSPITAL LTCU",17E473
24,"MARYLAND BAPTIST AGED HOME",215360
24,"NEWTON VILLAGE HEALTH CARE CENTER",165609
24,"MEDFORD LEAS",315144
24,"MINNIE HAMILTON HEALTH CARE",51A013
24,"ST BENEDICTS SENIOR COMMUNITY",245633
24,"O'CONNOR HOSPITAL D/P SNF",555916
24,"HELEN HAYES HOSPITAL T C U",335873
24,"BRECKINRIDGE PLACE",185465
24,"VI AT HIGHLANDS RANCH SKILLED NURSING",065398
24,"THE STEVEN AND ALEXANDRA COHEN PED L T C PAVILION",335874
24,"FORT SANDERS TCU",445328
24,"WILLIS-KNIGHTON EXTENDED CARE CENTER",195622
24,"CLINCH VALLEY MEDICAL CENTER",495181
24,"SOUTH LINCOLN NURSING CENTER",53A051
24,"STAR VALLEY CARE CENTER",53A050
24,"HOOSIER VILLAGE",155472
24,"CAREMERIDIAN LLC, DBA NEURORESTORATIVE",295103
24,"GRACE LUTH COMMUNITIES-PRAIRIE POINTE REHAB SUITES",525725
24,"ASPEN RIDGE OF UTAH VALLEY",465170
24,"DEUPREE COTTAGES",366386
24,"FLORIDA BAPTIST RETIREMENT CENTER",106097
24,"THE COVINGTON CARE CENTER",555811
24,"LEFA SERAN SNF",295001
24,"GOLDEN YEARS HEALTH CENTER",525677
24,"EDDY VILLAGE GREEN AT BEVERWYCK",335860
24,"FOWLER RESIDENTIAL CARE",175526
24,"AVANTARA ARLINGTON",435050
24,"RIVERVIEW HOSPITAL & NURSING HOME",245251
24,"WALLACE COUNTY COMMUNITY CARE CENTER, INC",175524
24,"MOUNT ST MARY",175561
24,"CANTERBURY WOODS",055303
24,"VI AT SILVERSTONE, A VI AND PLAZA COMPANIES COMMUN",035281
24,"NEURORESTORATIVE 4KIDS -BUFFALO",295091
25,"MACNEAL HOSPITAL SNF",145848
25,"SUITES AT HOLLY CREEK CARE CENTER, THE",065395
25,"EAST LOS ANGELES DOCTORS HOSP",555255
25,"DAMAS HOSPITAL SNF",405023
25,"THE PRESERVE",106137
25,"LAKESIDE NEUROLOGIC",106054
25,"MAPLE VALLEY NURSING HOME",235588
25,"LANGDON PLACE OF KEENE",305085
25,"GARDENS AT CELINA",366224
25,"HIMA SAN PABLO CUPEY SNF",405031
25,"BROAD CREEK CARE CENTER",425351
25,"CARL T CURTIS HEALTH EDUCATION CENTER NURSING HOME",28A065
25,"GARDENS AT ST HENRY THE",366197
25,"MERIT HEALTH WESLEY",255168
25,"VISTA VIEW CARE CENTER",065383
25,"PERSHING GENERAL HOSPITAL SNF",295000
25,"HANNA HOUSE SKILLED NURSING CE",366049
25,"CLARK REGIONAL MEDICAL CENTER",185428
25,"BATTLE MOUNTAIN GENERAL HOSPITAL",295063
25,"COMMUNITY MEDICAL CENTER TCU",315490
25,"EMANATE HEALTH INTER-COMMUNITY HOSPITAL- D/P SNF",555610
25,"CRYSTAL CARE CENTER OF PORTSMOUTH",365867
25,"ROBERT A  BARNES CENTER",366411
25,"HARMONY PHYSICAL REHABILITATION",396138
25,"RIDGEVIEW TERRACE LONG TERM CARE",525667
25,"SPARTANBURG HOSPITAL FOR RESTORATIVE CARE SNF",425384
25,"MANAWA COM NUR CTR",525316
25,"THE METHODIST HOSPITAL SNF",675370
25,"PIONEER LODGE",17E580
25,"PRIDE TLC THERAPY AND LIVING CAMPUS",525711
25,"ST JOSEPH'S RESIDENCE",075272
25,"BOWERSTON HILLS  NURSING & REHABILITATION",366037
25,"STANTON COUNTY HEALTH CARE FACILITY LTCU",17E445
25,"OSTRANDER CARE AND REHAB",245464
25,"SAGE REHABILITATION HOSPITAL SNF",195621
25,"SW VA M H INST GERI TRT CTR",49E131
25,"CORNERSTONE RETIREMENT COMMUNITY",676359
25,"HELEN HAYES HOSPITAL R H C F",335823
25,"JONES CONVALESCENT HOSPITAL",555842
26,"BERTRAND NURSING HOME",285258
26,"OAKLAND NURSING CENTER",235523
26,"OAK BEND MEDICAL CENTER",455770
26,"TELFORD TERRACE",185451
26,"CARLETON HEALTHCARE AND REHABILITATION CENTER",395712
26,"PRESENCE ST JOSEPH HOSPITAL - CHICAGO",145568
26,"CONTINUING HEALTHCARE AT STERLING SUITES",366397
26,"CATHERINE'S CARE CENTER, INC",366098
26,"EASTPORT MEMORIAL NURSING HOME",205146
26,"ST ELIZABETH FT THOMAS SNF",185328
26,"GREELEY CARE HOME",285286
26,"FOREST HILL MANOR HEALTH CENTER",555867
26,"POLARIS HEALTHCARE AND REHABILITATION CENTER",085058
26,"GARRISON MEM HOSP NSG FAC",355115
26,"ODD FELLOWS & REBEKAHS' HOME OF MAINE",205170
26,"LAKEVIEW HOUSE SKLD NRSG  AND RESIDENTIAL CARE FAC",225401
26,"CENTER FOR REHABILITATION AT HAMPTON WOODS THE",366442
26,"ST. JOSEPH'S HOSPITAL",515051
26,"ALHAMBRA HOSPITAL MED CTR DP/SNF",555850
26,"ENMOTION RECOVERY CARE",155848
26,"EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI",015410
26,"MEADOW MANOR",245367
26,"SKYLYN NURSING AND REHABILITATION CENTER",425410
26,"VILLA CREST, LLC",396147
26,"KANAWHA COMMUNITY HOME, INC.",165467
26,"CHILDRENS SPECIALIZED HOSPITAL TOMS RIVER",315443
27,"WHITE MEMORIAL MEDICAL CTR DP",555312
27,"CHILDRENS HC ORG NO CA -PEDIATRIC HOSPITAL D/P SNF",555734
27,"CHAPMAN GLOBAL MEDICAL CENTER D/P SNF",555709
27,"HERITAGE SQUARE",14A357
27,"GOOD SAMARITAN SOCIETY - ARLINGTON",245598
27,"STRATFORD VILLA POST-ACUTE",555899
27,"VILLA MARIA WEST SKILLED NURSING FACILITY",106080
27,"LITTLE SISTERS OF THE POOR",05A331
27,"BROOKSIDE VILLAGE INC",155703
27,"ATHENS HEALTHCARE AND REHABILITATION CENTER",675264
27,"VALLEY OF THE MOON POST ACUTE",555258
27,"KADOKA NURSING HOME",43A103
27,"GREATER BALTIMORE MEDICAL CENTER SUB ACUTE UNIT",215314
27,"HILL TOP HOUSE",175500
27,"BAYWOODS OF ANNAPOLIS",215345
27,"WESTMINSTER CANTERBURY BLUE RI",495225
27,"SAN FRANCISCO TOWERS",555728
28,"NORTHSHORE EXTENDED CARE HOSPITAL",195641
28,"BOUNDARY COUNTY NURSING HOME",135004
28,"GRAND ROYALE, THE",265882
28,"THE BROOK AT HIGH FALLS NURSING HOME AND REHAB CTR",335825
28,"THE SHEPHERD'S CENTER",17E488
28,"GARDEN VIEW CARE CENTER AT DOUGHERTY FERRY",265808
28,"WINDSOR MANOR",555616
28,"REGENCY OLYMPIA REHABILITATION AND NURSING CENTER",505515
28,"WESTLAND HOUSE",555143
28,"FAIRVIEW UNIVERSITY TRANS SERV",245170
28,"DWELLING PLACE AT ST CLARES",315019
28,"RICHARDTON HEALTH CENTER INC",355122
28,"HUMBOLDT COUNTY MEMORIAL HOSPI",16E718
28,"TCU AT NAZARETH HOSPITAL, THE",396002
28,"COX MEDICAL CENTERS MEYER ORTHOPEDIC AND REHAB",265289
28,"CLARK FORK VALLEY NURSING HOME",275107
28,"HERITAGE REHAB & LIVING CTR",205133
28,"PARK SHORE",505493
28,"SOUTH PENINSULA HOSPITAL LTC",025031
28,"EASTERN STAR HOME OF SOUTH DAKOTA, INC",43A135
28,"WE CARE SKILLED NURSING FACILITY",555914
28,"DIAMOND CARE CENTER",435114
28,"ENCINO HOSPITAL MEDICAL CENTER D/P SNF",555380
28,"LAKE ANDES SENIOR LIVING",435097
28,"BEAVER CITY MANOR",285269
28,EASTRIDGE,175374
28,"SWIFT CREEK HEALTH CENTER",345577
28,"MERCY MANOR TRANSITION CENTER",525666
28,"SHANNON MEDICAL CENTER",455691
28,"SPRENGER HEALTH CARE OF MASSILLON SNF",366294
28,"COLFAX HEALTH AND REHABILITATION CENTER",525691
28,"COOK COMMUNITY HOSPITAL C&NC",245392
28,"TRIPOLI NURSING & REHAB",165494
28,"ACCURA HEALTHCARE OF BANCROFT",165408
28,"ON WITH LIFE",165163
28,"DUNSEITH COM NURSING HOME",355080
29,"THE SPRINGS",675240
29,"NORTH WINDS LIVING CENTER",37E568
29,"AIDAN SENIOR LIVING AT REEDSPORT",385164
29,"CHOWCHILLA MEMORIAL HEALTHCARE DISTRICT",555530
29,"MAPLE HEALTHCARE AND REHAB",375515
29,"ADVANCED CARE CENTER OF BUTLER",396149
29,"SYRINGA CHALET NURSING FACILITY",135111
29,"KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE",025010
29,"REHAB PAVILION AT THE WEILS",366379
29,"DIMENSIONS LIVING BURR RIDGE",146094
29,"AVANTARA CLARK CITY",435058
29,"BEACON HILL AT EASTGATE",235633
29,"SPANISH FORK REHABILITATION AND NURSING",465183
29,"WEDGEWOOD NURSING REHABILITATION CENTER",335408
29,"KIOWA HOSPITAL DISTRICT MANOR",17E597
29,"COLUMBIA ST. FRANCIS HOSPITAL",515110
29,"OAKLAND MANOR NURSING & REHAB CENTER LLC",235703
29,"PHILLIPS MANOR NURSING HOME",225748
29,"SILVER MEMORIES HEALTH CARE",155847
29,"ASCENSION STANDISH HOSPITAL & SKILLED NURSING FAC",235192
30,"FAIR HAVEN HOME INC",345425
30,"THE TERRACES AT LOS ALTOS HEALTH FACILITY",055210
30,"GARDENS AT TERRACINA HEALTH & REHABILITATION",106129
30,"THATCHER BROOK REHABILITATION & CARE CENTER",465169
30,"MENIG NURSING HOME",475058
30,"NEW ENGLAND HOMES FOR THE DEAF, INC",225768
30,"THE VILLA REHAB",475055
30,"ST ANTHONY CARE CENTER",055809
30,"GREENSBORO NURSING HOME",475043
30,"SCOTCHMAN LIVING CENTER",43A038
30,"KIRBY PINES MANOR",445189
30,"ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA SNF",555660
30,"STONEHENGE OF RICHFIELD",465173
30,"LAKEVIEW EXTENDED CARE AND REHAB",235295
30,"SUN DIAL MANOR",435093
30,"PINE VIEW TRANSITIONAL REHAB",465155
30,"LEISURE HOMESTEAD AT ST JOHN",175529
30,"STANLEY HEALTHCARE CENTER",555651
30,"WELLPARK AT SHANNONDALE",445523
30,"STONES RIVER MANOR, INC",445534
30,"SIERRA WINDS",035231
30,"GROSSMONT HOSPITAL D/P SNF",555572
30,"GALLERIA WOODS SKILLED NURSING FACILITY",015459
30,"MCCAMEY CONVALESCENT CENTER",45E761
30,"GOLDEN YEARS OF LAKE GENEVA",525727
30,"SUNTERRA SPRINGS RIVERVIEW",135139
30,"WESLEY COURT HEALTH CENTER",676090
30,"ROLLA PRESBYTERIAN MANOR",265580
30,"PARKVIEW HOME",245475
30,"DIMENSIONS LIVING PROSPECT HTS",145852
30,"MEMORIAL NURSING CENTER",375567
30,"NESS COUNTY HOSPITAL LTCU DBA CEDAR VILLAGE",17E625
30,"PALEMON GASKINS MEM NSG HOME",115713
30,"EAST PORTLAND CARE CENTER",38E157
30,"ANDERSON COUNTY HOSPITAL LTCU",17E577
30,"THE HEALTH CENTER AT CONCORDIA",375518
30,"KULANA MALAMA",125057
30,"OUR LADY OF PEACE INC",49A007
30,"LOGAN COUNTY SENIOR LIVING INC",175567
30,"ELMWOOD ASSISTED LIVING & SKILLED NURSING OF FREMO",366422
30,"CLEARVIEW BRAIN INJURY CENTER",52A461
30,"CARE & REHAB - LADYSMITH 2",525710
30,"PIONEER HEALTH AND REHAB",525652
30,"MISSION VILLAGE LIVING CENTER, INC",175546
30,"ASPEN TRANSITIONAL REHABILITATION",135130
30,"NORTH PARK CARE CENTER",366390
30,"OUR LADY OF PERPETUAL HELP",49E256
30,"ATLANTES THE",366408
30,"PROMONTORY POINT REHABILITATION",135137
30,"OHIO LIVING CAPE MAY",366415
30,"FAIRFIELD MEMORIAL HOSPITAL",145552
30,"AVERA SUNRISE MANOR",245357
30,"CHEYENNE COUNTY VILLAGE INC",175347
30,"SINGING RIVER GULFPORT SKILLED NURSING FACILITY",255350
30,"CAROL WOODS",345199
30,"TOWNER COUNTY LIVING CTR",355068
30,"SANFORD HILLSBORO CARE CENTER",355061
30,"MEDINA MEMORIAL HOSPITAL S N F",335313
30,"RIVER TERRACE HEALTH CARE CENTER",155726
30,"UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING",155725
30,"BRIGHTON GARDENS OF EDISON",315351
30,"DOOR COUNTY MEMORIAL HOSPITAL SNF",525377
30,"TIOGA MEDICAL CENTER LTC",355034
30,"PIONEER MEMORIAL COMMUNITY HOSPITAL",28E175
30,"HICKORY CREEK AT NEW CASTLE",155459
30,"LANGDON PLACE OF DOVER",305089
30,"MINERAL POINT HEALTH SERVICES",525354
30,"ROCK COUNTY HOSPITAL LONG TERM CARE",285304
30,"BRADLEY CREEK HEALTH CENTER",345571
30,"SAINT JOHNS ON THE LAKE",525539
30,"FOUR SEASONS RETIREMENT CENTER",155471
30,"CRESTLINE REHABILITATION AND NURSING CENTER",366002
30,"ST CATHERINE OF SIENA",315471
30,"PEARL NORDAN CARE CENTER - NURSING",675952
30,"RENAISSANCE PAVILION",315495
30,"CRYSTAL CARE CENTER OF FRANKLIN FURNACE",366003
30,"ACCURA HEALTHCARE OF POMEROY, LLC",165414
30,"CONEMAUGH MEMORIAL MEDICAL CENTER TCU",396102
30,"ASHLEY MEDICAL CENTER NURSING HOME",355091
30,"JEANNE JUGAN RESIDENCE",335849
30,"DEERFIELD HEALTH CARE CENTER",165557
30,"LEEWAY, INC",075408
30,"KINDRED HOSPITAL SOUTH FLORIDA HOLLYWOOD",106109
30,"SKYTOP VIEW REHABILITATION CENTER",106105
30,"THE TRANSITIONAL CARE CENTER OF OWENSBORO",185396
30,"WESTMINSTER ST AUGUSTINE",106040
30,"CAMELLIA ESTATES",255280
30,"COLONIAL SKILLED NURSING FACILITY LLC",105875
30,"VICAR'S LANDING NURSING HOME",105630
30,"HAMPSHIRE MEMORIAL HOSPITAL",515080
30,CHRISTWOOD,195381
30,"BRADLEY HOME & PAVILION, THE",075439
30,"VILLA SIENA",05A364
30,"OCHSNER MEDICAL CENTER SKILLED NURSING FACILITY",195180
30,FOLKESTONE,245621
30,"WALBRIDGE MEMORIAL CONVALESCENT WING",065264
30,"GOOD SAMARITAN SOCIETY - BLACKDUCK",245600
30,"WINCHESTER GARDENS HEALTH CARE CENTER",315527
30,"ANTHONY COMMUNITY CARE CENTER",17E630
30,"CLAY CENTER PRESBYTERIAN MANOR",175310
30,"HERON'S KEY",505531
30,"SAINT FRANCIS MED CTR DP",555238
30,"SUNNYSIDE CARE CENTER",245597
30,"GOOD SAMARITAN SOCIETY -- SIMLA",06A171
30,"WALSH HEALTHCARE CENTER",06A175
30,"THE ARBORETUM AT THE WOODLANDS",425394
31,"SUTTON COMMUNITY HOME, INC.",285277
31,"THE JEFFERSON",495269
31,"VILLA MARIN",555227
31,"LAMPASAS NURSING AND REHABILITATION CENTER",455513
31,"KADIMA REHABILITATION & NURSING AT LAKESIDE",395730
31,"SEILING NURSING CENTER",37E082
31,"ROSEBUD HEALTH CARE CENTER",275072
31,"HARRIS HEALTH CENTER LLC",415098
