Beds,Provider,"Federal Number"
120,"TWIN PINES ADULT CARE CENTER",265198
120,"SETON HEALTH AT SCHUYLER RIDGE RESIDENTIAL H C",335774
120,"EDNA TINA WILSON LIVING CENTER",335769
120,"LIFE CARE CENTER OF ESCONDIDO",555427
120,"GHENT REHABILITATION & NURSING CENTER",335766
120,"VERNON MANOR HEALTH CARE CENTER, LLC",075334
120,"MARSHFIELD HEALTH SERVICES",525304
120,"SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE",676299
120,"NORTHGATE PLAZA",675967
120,"MILLER HEALTH CARE CENTER",145843
120,"PENDLETON HEALTH & REHABILITATION CENTER",075341
120,"ONEIDA CENTER FOR REHABILITATION AND NURSING",335794
120,FAIRVIEW,075288
120,"HUNTER WOODS NURSING AND REHAB",345388
120,"GEER NURSING AND REHABILITATION",075202
120,"APPLE REHAB ROCKY HILL",075211
120,"OXFORD REHABILITATION & HEALTH CARE CENTER, THE",225218
120,"ST JOSEPHS LIVING CENTER",075321
120,"BAY PATH AT DUXBURY NURSING & REHABILITATION CTR",225279
120,"LIFE CARE CENTER OF SALT LAKE CITY",465139
120,"LAKEVIEW REHABILITATION AND CARE CENTER",315110
120,"WINDSOR CYPRESS GARDENS",056315
120,"RIVERBEND NURSING AND REHABILITATION CENTER, INC",195481
120,"PARKER AT SOMERSET, INC",315253
120,"MANOR AT PERRYSBURG",366022
120,"THE LAURELS OF FOREST GLENN",345389
120,"SHADY OAKS HEALTHCARE CENTER",265246
120,"PRINCETON HEALTH CARE CENTER",515187
120,"CANEY CREEK NURSING & REHABILITATION",455699
120,"PEBBLE CREEK NURSING CENTER",455718
120,"DIVERSICARE OF ONEONTA",015159
120,"MANORCARE HEALTH SERVICES",106020
120,"SCHERVIER PAVILION",335784
120,"CENTRAL BAPTIST VILLAGE",145853
120,"THE HIGHLANDS AT BRIGHTON",335778
120,"STONEBRIDGE VILLA MARIE",265208
120,"RIVER CROSSING OF EDWARDSVILLE",145846
120,"WEST REST HAVEN INC",676386
120,"CEDAR HEALTH AND REHABILITATION",465143
120,"ISLAND NURSING AND REHAB CENTER",335835
120,"AUTUMN HILLS CARE CENTER",365672
120,"MILLER POINTE, A PROSPERA COMMUNITY",355106
120,"KEYSTONE REHABILITATION AND HEALTH CENTER",106074
120,"STONERISE CLARKSBURG",515120
120,"STONERISE BERKELEY SPRINGS",515137
120,"TRINITY HEALTH CARE OF LOGAN",515140
120,"PUTNAM CENTER",515070
120,"THE BAPTIST HOME AT BROOKMEADE",335613
120,"AVIARA HEALTHCARE CENTER",555323
120,"TRINITY REGIONAL REHAB CENTER",106079
120,"PACIFIC HEIGHTS TRANSITIONAL CARE CENTER",056176
120,"HERITAGE MANOR HEALTH & REHAB",195291
120,"ADVENTHEALTH CARE CENTER CELEBRATION",106127
120,"JEFF DAVIS LIVING CENTER, LLC",195314
120,"KENSINGTON HEALTH AND REHABILITATION",015429
120,"GONZALES HEALTHCARE CENTER",195327
120,"DIAMOND RIDGE HEALTHCARE CENTER",555287
120,"MAINE VETERANS HOME - BANGOR",205185
120,"HOLBROOK HEALTHCARE CENTER",515076
120,"CLINTON HEALTHCARE AND REHABILITATION CENTER",265255
120,"MOBILE NURSING AND REHABILITATION CENTER",015379
120,"LAKE PARK NURSING AND REHABILITATION CENTER",345502
120,"MOUNTAIN VIEW CARE CENTER",515065
120,"LACONIA REHABILITATION CENTER",305040
120,"PIERPONT CENTER AT FAIRMONT CAMPUS",515155
120,"MAINE VETERANS HOME - SCARBOROUGH",205127
120,"VALLEY VIEW VILLA",065181
120,"DUNBAR CENTER",515066
120,"LAKE JACKSON HEALTHCARE CENTER",455477
120,"STONERISE KINGWOOD",515072
120,"SPRING CREEK NURSING AND REHABILITATION CENTER LLC",365101
120,"ANBERRY TRANSITIONAL CARE",555901
120,"PETAL HILL NURSING & REHABILITATION CENTER",455485
120,"VETERANS HOME OF CALIFORNIA - FRESNO",555900
120,"BEACHWOOD POINTE CARE CENTER",365071
120,"LEGEND HEALTHCARE AND REHABILITATION - PARIS",676049
120,"CREEKSIDE VILLAGE HEALTH AND REHABILITATION CENTER",065221
120,"PELICAN POINTE HEALTHCARE AND REHABILITATION",195342
120,"HEART OF THE OZARKS HEALTHCARE CENTER",265254
120,"SHERMAN OAKS HEALTH & REHAB",056250
120,"WILLOW WOOD AT WOLDENBERG VILLAGE",195156
120,"CHILDRESS HEALTHCARE CENTER",675055
120,"AUTUMN LAKE HEALTHCARE AT BELOIT",525663
120,"CORONADO HEALTHCARE CENTER",675049
120,"DYER NURSING AND REHABILITATION CENTER",445468
120,"RADCLIFF VETERANS CENTER",185483
120,"NAPA POST ACUTE",056153
120,"LIFE CARE CENTER OF MICHIGAN CITY",155344
120,"PROMEDICA SKILLED NURSING & REHAB TWINSBURG",366419
120,"BALCH SPRINGS NURSING HOME",675057
120,"PROMEDICA SKILLED NURSING & REHAB DUBLIN",366418
120,"PARKSIDE MANOR",265302
120,"OAKS OF HOUMA (THE)",195201
120,"QUEEN ANNE HEALTHCARE",505204
120,"HERITAGE MANOR OF SLIDELL",195220
120,"PROMEDICA SKILLED NURSING & REHAB SYLVANIA",366436
120,"WEST CHICAGO TERRACE",14E392
120,"WINDCREST HEALTH & REHABILITATION",676219
120,"PAUL E PATTON EASTERN KY VETERANS CENTER",185471
120,"LIFE CARE CENTER OF CARROLLTON",265294
120,"ADVENTHEALTH CARE CENTER WATERMAN",106119
120,"WILLOW RIDGE NURSING AND REHABILITATION CENTER,LLC",195346
120,"HEARTWOOD EXTENDED HEALTHCARE",505326
120,"OUR LADY OF PROMPT SUCCOR NURSING FACILITY",195369
120,"HARMONY COURT REHAB AND NURSING",366220
120,"SCOTT LAKE HEALTH AND REHABILITATION CENTER",106120
120,"BRICKYARD HEALTHCARE - WOODLANDS CARE CENTER",155252
120,"CLEARWATER HEALTHCARE CENTER",555307
120,"LUTHERAN VILLAGE AT WOLFCREEK",366192
120,"BRIDGEWALK ON HARDEN HEALTH AND REHABILITATION, LL",106138
120,"BASTROP LOST PINES NURSING AND REHABILITATION CENT",676222
120,"GULF POINTE PLAZA",675892
120,"NATCHITOCHES COMMUNITY CARE CENTER",195405
120,"CCC OF PEWAUKEE",525646
120,"COLLEGE OAK NURSING & REHABILITATION CENTER",056158
120,"RIVER OAKS SKILLED NURSING AND THERAPY",375113
120,"LEXINGTON PREMIER NURSING & REHAB, LLC",185463
120,"CHATHAM GLEN HEALTHCARE AND REHABILITATION CENTER",106139
120,"GOLDEN HILL REHAB PAVILION",075213
120,"WATERBURY CENTER FOR NURSING & REHABILITATION LLC",075219
120,"CARY HEALTH AND REHABILITATION",345403
120,"ROYAL MANOR",676343
120,"CAPROCK NURSING & REHABILITATION",676341
120,"BRIAN CENTER HEALTH & REHAB/HENDERSONVILLE",345312
120,"BROWNSVILLE NURSING AND REHABILITATION CENTER",676083
120,"HERMITAGE NURSING & REHAB",265239
120,"CLEVELAND PINES",345282
120,"LIFE CARE CENTER OF WESTMINSTER",065358
120,"FRIENDSHIP MANOR HEALTH CARE",146043
120,CLEARVIEW,525453
120,"PINE FOREST HEALTH AND REHABILITATION",255326
120,"ALLURE OF MOLINE",146041
120,"WOODLAND GROVE HEALTH & REHABILITATION CENTER",106058
120,"ARBOR VIEW",065330
120,"SURRY COMMUNITY HEALTH AND REHAB CENTER",345191
120,"YUMA NURSING CENTER",035152
120,"LAKESIDE NURSING AND REHABILITATION CENTER",676325
120,"TRINITY RIDGE",345106
120,"FREDERICK HEALTH & REHABILITATION CENTER",215184
120,"FAIRMONT HEALTHCARE AND REHABILITATION CENTER",515189
120,"GRACE HEIGHTS HEALTH & REHABILITATION",345187
120,"LARKIN CHASE CENTER",215264
120,"ASTON PARK HEALTH CARE CENTER",345198
120,"THE SPRINGS HEALTHCARE AND REHABILITATION",676327
120,"MOUNTAIN VIEW MANOR NURSING CE",345193
120,"LIFE CARE CENTER OF STONEGATE",065401
120,"WESTGATE HILLS REHAB & HEALTHCARE CTR",215299
120,"BISHOP WICKE HEALTH & REHAB CT",075163
120,"PROMEDICA SKILLED NURSING & REHAB (ROLAND PARK)",215301
120,"VETERANS HOME OF CALIFORNIA - BARSTOW",555853
120,"DOUGLAS JACOBSON STATE VETERANS NURSING HOME",106059
120,"BEDFORD CARE CENTER OF MARION",255328
120,"BROOKSIDE INN",065361
120,PRUITTHEALTH-ROCKINGHAM,345378
120,"THE CARROLTON OF FAYETTEVILLE",345376
120,"REX REHAB & NSG CARE CENTER",345369
120,"PRUITTHEALTH - WEST ATLANTA",115512
120,"MAPLEWOOD OF SAUK PRAIRIE",525462
120,"MATAGORDA HOUSE HEALTHCARE CENTER",455643
120,"SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER",06A190
120,"PELICAN HEALTH AT CHARLOTTE",345201
120,"THE HARRISON AT HERITAGE",676317
120,"HARBOURWOOD CARE CENTER",106041
120,"CAROLINA PINES AT ASHEVILLE",345174
120,"WINDMILL NURSING & REHAB CENTER",676318
120,"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING",106038
120,"LINCOLNTON REHABILITATION CENTER",345159
120,"GROVE HEALTH & REHABILITATION CENTER, THE",106036
120,"LOMPOC SKILLED NURSING & REHABILITATION CENTER",555830
120,"LENOIR HEALTHCARE CENTER",345138
120,"UNIVERSAL HEALTH CARE / GREENVILLE",345181
120,"ACCORDIUS HEALTH AT WILKESBORO",345133
120,"MEADOW PARK REHABILITATION AND HEALTHCARE CENTER",215347
120,"GREENHAVEN HEALTH AND REHABILITATION CENTER",345132
120,"ACCORDIUS HEALTH AT CONCORD",345130
120,"CAPSTONE HEALTHCARE ESTATES ON OREM",676314
120,"LAREDO NURSING AND REHABILITATION CENTER",676313
120,"THE HILLCREST OF NORTH DALLAS",676315
120,"THE GREENS AT PINEHURST REHAB & LIVING CENTER",345177
120,"UNIVERSAL HEALTH CARE & REHAB",345183
120,"MAGNOLIA HEALTH AND REHABILITATION CENTER",106032
120,"MILFORD HEALTH CARE CENTER INC",075064
120,"SILVER CREEK MANOR",455652
120,"LIFE CARE CENTER OF SARASOTA",106025
120,"CAROLINA RIVERS NURSING AND REHABILITATION CENTER",345072
120,"FOCUSED CARE AT ORANGE",676094
120,"BLOOMFIELD HEALTH CARE CENTER",075138
120,"MONTOWESE HEALTH & REHABILITATION CENTER",075017
120,"NEW LONDON SUB-ACUTE AND NURSING",075158
120,"WESTMINSTER POINT PLEASANT",106030
120,"MARK TWAIN MANOR",265236
120,"APPLE REHAB SAYBROOK",075070
120,"LAKE MARY HEALTH AND REHABILITATION CENTER",106029
120,"SHOAL CREEK REHABILITATION CENTER",106028
120,"NORWICH SUB-ACUTE AND NURSING",075079
120,"OREM REHABILITATION AND NURSING CENTER",465104
120,"SUMMERSTONE HEALTH AND REHABILITATION CENTER",345039
120,"GLENDORA CANYON TRANSITIONAL CARE UNIT",555416
120,"JACKSON GARDENS HEALTH AND REHABILITATION CENTER",106034
120,"RIVERCHASE HEALTH AND REHABILITATION CENTER",106043
120,"STONECREEK HEALTH AND REHABILITATION",345204
120,"ADIRA AT RIVERSIDE REHABILITATION AND NURSING",335829
120,"LIFE CARE CENTER OF CAPE GIRARDEAU",265185
120,"STURGEON BAY HEALTH SERVICES",525306
120,"BEZALEL REHABILITATION AND NURSING CENTER",335666
120,"SAFIRE REHABILITATION OF SOUTHTOWN, L L C",335663
120,"WELLSVILLE MANOR CARE CENTER",335661
120,"WESTERN HILLS NURSING & REHABILITATION",455785
120,"ABSOLUT CTR FOR NURSING & REHAB THREE RIVERS L L C",335652
120,"TREASURE HILLS HEALTHCARE AND REHABILITATION CENTE",675933
120,"AUSTIN WELLNESS & REHABILITATION",455799
120,"SIXTEEN ACRES HEALTHCARE CENTER",225392
120,"HERITAGE MANOR OF HOUMA",195485
120,"WARRENTON MANOR",265181
120,"NHC HEALTHCARE, ST CHARLES",265166
120,"PINE HAVEN HOME",335632
120,"BRIARWOOD REHABILITATION & HEALTHCARE CENTER",225437
120,"COMPLETE CARE AT SILVER LAKE LLC",085027
120,"NEW CASTLE HEALTH AND REHABILITATION CENTER",085039
120,"HEARTHSTONE NURSING AND REHABILITATION",455771
120,"BELLA TERRA LAGRANGE",145737
120,"RIVER CROSSING OF JOLIET",145694
120,"SENECA HILL MANOR INC",335815
120,"CHESHIRE REGIONAL REHAB CENTER",075222
120,"MAPLEWOOD CENTER",225229
120,"WINGATE OF ULSTER",335803
120,"MAPLE VIEW MANOR",075238
120,"GLENDALE CENTER",075240
120,"RIVER GLEN HEALTH CARE CTR",075241
120,"AVON HEALTH CENTER",075244
120,"STONEBROOK HEALTHCARE CENTER",555421
120,"LUTHERAN HOME OF SOUTHBURY INC",075371
120,"REGENCY GARDENS NURSING CENTER",315103
120,"ADVENTHEALTH CARE CENTER ORLANDO NORTH",106024
120,"RIVER CROSSING OF ROCKFORD",145891
120,"WESTPORT REHABILITATION COMPLEX",075280
120,"ATTLEBORO HEALTHCARE",225239
120,"VILLAGE GREEN OF BRISTOL REHAB & HEALTH CENTER",075198
120,"OAK BROOK HEALTH CARE CENTER",455753
120,"UNITY LIVING CENTER",335620
120,"NORTHGATE HEALTH AND REHABILITATION CENTER",455804
120,"HICKORY FALLS HEALTH AND REHABILITATION",345246
120,"LIFE CARE CENTER OF LITTLETON",065370
120,"NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION",335700
120,"CHOCTAW RESIDENTIAL CENTER",255339
120,"GLADES HEALTH CARE CENTER",106018
120,"ALDEN ESTATES OF COUNTRYSIDE, INC",525271
120,"SOUTHPORT CENTER FOR NURSING & REHABILITATION LLC",075200
120,"CHOCTAW HEALTH AND REHAB",015164
120,"CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME",106056
120,"WINDSOR HOUSTON",676337
120,"ST JOHNSVILLE REHABILITATION AND NURSING CENTER",335704
120,"ACCORDIUS HEALTH AT WILMINGTON",345236
120,"CIBOLO CREEK",676240
120,"HOMEWOOD AT CRUMLAND FARMS",215245
120,"HAVEN OF OUR LADY OF PEACE",106052
120,"COURTYARD NURSING AND REHABILITATION",455613
120,"PRUITTHEALTH - SANTA ROSA",106048
120,"LIFE CARE CENTER OF INVERRARY",106047
120,"LONG RIDGE POST-ACUTE CARE",075394
120,"IRA DAVENPORT MEMORIAL HOSPITAL S N F/ H R F",335706
120,"NORTHEAST REHABILITATION AND HEALTHCARE CENTER",455754
120,"WEST RIVER REHAB CENTER",075377
120,"ABSOLUT CTR FOR NURSING & REHAB WESTFIELD L L C",335683
120,"ARBROOK PLAZA",675930
120,"DELMAR CENTER FOR REHABILITATION AND NURSING",335735
120,"BUCKLEY-GREENFIELD HEALTHCARE CENTER",225335
120,"LAMAR HEALTHCARE & REHABILITATION CENTER",255338
120,"CAPE REGENCY REHABILITATION & HEALTH CARE CENTER",225338
120,"CORPUS CHRISTI NURSING AND REHABILITATION CENTER",676107
120,"RENAISSANCE CARE CENTER",145793
120,"APPLE REHAB LAUREL WOODS",075389
120,"BETSY ROSS REHABILITATION CENTER, INC",335727
120,"BEACON REHABILITATION AND NURSING CENTER",335726
120,"WINDSOR NURSING & RETIREMENT HOME",225349
120,"SAPPHIRE NURSING AND REHAB AT GOSHEN",335684
120,"LIVEWELL CONNECTICUT",075378
120,"QUANTUM REHABILITATION AND NURSING L L C",335719
120,"MARLBOROUGH HEALTH & REHABILITATION CENTER",075384
120,"SYRACUSE HOME ASSOCIATION",335713
120,"LIFE CARE CENTER OF JACKSONVILLE",106064
120,"THE MILDRED & SHIRLEY L GARRISON GERIATRIC EDUCATI",675925
120,"CENTRAL CONTINUING CARE",345410
120,"REGENCY AT LANSING WEST",235706
120,"LIVING CENTER OF ST PETERSBURG",105895
120,"CARE ONE AT VALLEY",315369
120,"CATHEDRAL GERONTOLOGY CENTER, INC",105834
120,"EDWARD J HEALEY REHABILITATION AND NURSING CENTER",105838
120,"KING MANOR CARE AND REHABILITATION CENTER",315299
120,"TERRACE OF KISSIMMEE, THE",105839
120,"EMORY L BENNETT MEMORIAL VETERANS NURSING HOME",105840
120,"PALM VILLAGE RETIREMENT COMM.",555513
120,"HEARTLAND HEALTH CARE CENTER FORT MYERS",105723
120,"HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF",105852
120,"MONMOUTH CARE CENTER",315284
120,"WESTMINSTER OAKS",105854
120,"PALM CITY NURSING & REHAB CENTER",105831
120,"AVALON WEST HEALTH & REHABILITATION",465066
120,"CONCORD HEALTHCARE & REHABILITATION CENTER",315275
120,"COMPLETE CARE AT WOODLANDS",315273
120,"ALLENDALE REHABILITATION AND HEALTHCARE CENTER",315497
120,"SAINTS CARE CENTER",105721
120,"METRO WEST NURSING AND REHAB CENTER",105868
120,"ELGIN NURSING AND REHABILITATION CENTER",676180
120,"CONSULATE HEALTH CARE OF LAKE PARKER",105693
120,"WINDSOR HEALTH AND REHABILITATION CENTER",105696
120,"VICTORIA MANOR",315508
120,"PROMEDICA SKILLED NURSING & REHAB - WASHINGTON TWP",315506
120,"EAST BAY REHABILITATION CENTER",105697
120,"NORTHDALE REHABILITATION CENTER",105700
120,"TARPON POINT NURSING AND REHABILITATION CENTER",105702
120,"MYSTIC MEADOWS REHAB & NURSING CENTER",315456
120,"CENTRAL PARK HEALTHCARE AND REHABILITATION CENTER",105718
120,"PROMEDICA SKILLED NURSING & REHAB - VOORHEES WEST",315500
120,"OCOEE HEALTH CARE CENTER",105706
120,"FOURAKER HILLS REHAB AND NURSING CENTER",105707
120,"NSPIRE HEALTHCARE MIAMI LAKES",105709
120,"ARISTACARE AT CHERRY HILL",315245
120,"CARE ONE AT LIVINGSTON",315479
120,"HAMPTON COURT NURSING AND REHABILITATION CENTER",105715
120,"VILLAGE POINT",315269
120,"LIFE CARE CENTER OF CITRUS COUNTY",105870
120,"EGG HARBOR CARE CENTER",315514
120,"TRUCARE LIVING CENTERS",676257
120,"COMPLETE CARE AT ARBORS",315333
120,"MIRACLE HILL NURSING & REHABILITATION CENTER, INC",105810
120,"HARTWYCK AT OAK TREE",315251
120,"MEDILODGE OF CAPITAL AREA",235653
120,"REGENCY AT WESTLAND",235655
120,"CROWLEY NURSING AND REHABILITATION",676176
120,"LILAC AT BAYVIEW, THE",105816
120,"CORAL BAY HEALTHCARE AND REHABILITATION",105795
120,"ROYAL OAKS NURSING AND REHAB CENTER",105793
120,"TERRACE OF ST CLOUD, THE",105528
120,"BENDER TERRACE OF LUBBOCK",676163
120,"MENORAH HOUSE",105685
120,"CORAL TRACE HEALTH CARE",105588
120,"COQUINA CENTER",105589
120,"PALM GARDEN OF TAMPA",105591
120,"WILLOWBROOKE COURT AT INDIAN RIVER ESTATES",105593
120,"EDGEWATER AT WATERMAN VILLAGE",105796
120,"TAYLOR CARE CENTER",105821
120,"COMPLETE CARE AT BEY LEA, LLC",315264
120,"SOLARIS HEALTHCARE LAKE CITY",105769
120,"WINKLER COURT",105882
120,"EXCEL CARE CENTER",105884
120,"GUARDIAN ANGELS CARE CENTER",245012
120,"MILFORD MANOR",315276
120,"GARDENS CARE CENTER",105765
120,"COMPLETE CARE AT BRAKELEY PARK, LLC",315316
120,"TIFFANY HALL NURSING AND REHAB CENTER",105819
120,"THE ORCHARDS AT SAMARITAN",235632
120,"HEALTH CENTER AT BLOOMINGDALE",315348
120,"ALARIS HEALTH AT BELGROVE",315366
120,"PLANTATION BAY REHABILITATION CENTER",105888
120,"PORT ORANGE NURSING AND REHAB CENTER",105776
120,"ADVENTHEALTH CARE CENTER APOPKA NORTH",105782
120,"MANOR AT BLUE WATER BAY, THE",105784
120,"BAYONET POINT LIVING CENTER",105786
120,"NORTH CAPE CENTER",315350
120,"ORANGE PARK CENTER FOR NURSING AND HEALING",105692
120,"OCALA OAKS REHABILITATION CENTER",105724
120,"WESTMINSTER SUNCOAST",105926
120,"EDEN SPRINGS NURSING AND REHAB CENTER",105282
120,"ORCHID COVE AT CLEARWATER",105373
120,"SOUTH CAMPUS CARE CENTER",105375
120,"WINDCREST NURSING AND REHABILITATION CENTER",455941
120,"BROOKDALE RIVERWALK SNF (CA)",555771
120,"ORCHID COVE AT LONGWOOD",105377
120,"LIVINGSTON HILLS NURSING AND REHABILITATION CENTER",335389
120,"SENECA NURSING & REHABILITATION CENTER, L L C",335400
120,"BAYVIEW CENTER",105324
120,"HUNT NURSING & REHAB CENTER",225740
120,"ST AUGUSTINE HEALTH AND REHABILITATION CENTER",105315
120,"VILLAGE AT VICTORY LAKES, THE",145602
120,"LAKELAND HILLS CENTER",105283
120,"BARTOW CENTER",105286
120,"LIFE CARE CENTER OF MELBOURNE",105291
120,"EGRET COVE CENTER",105293
120,"FORT WALTON REHABILITATION CENTER, LLC",105295
120,"SANS SOUCI REHABILITATION AND NURSING CENTER",335398
120,"TAMARAC REHABILITATION AND HEALTH CENTER",105360
120,"KING STREET HOME INC",335447
120,"RIVER RIDGE LIVING CENTER",335422
120,"VILLA TOSCANA AT CYPRESS WOODS",676239
120,"GREENE MEADOWS NURSING AND REHABILITATION CENTER",335574
120,"CONSULATE HEALTH CARE OF PORT CHARLOTTE",105982
120,"LILY SPRINGS  REHABILITATION AND HEALTHCARE CENTER",455889
120,"RENAISSANCE PARK MULTI CARE CENTER",455891
120,"ISLAND HEALTH AND REHABILITATION CENTER",105325
120,"ROYAL OF COTUIT",225689
120,"TARRYTOWN HALL CARE CENTER",335421
120,"RENAISSANCE REHABILITATION AND NURSING CARE CENTER",335404
120,"PALMS CARE CENTER",105336
120,"ADVANCED REHABILITATION AND HEALTHCARE OF VERNON",455931
120,"REHAB & HEALTHCARE CENTER OF CAPE CORAL",105342
120,"HI-DESERT MEDICAL CENTER D/P SNF",555443
120,"WATERS EDGE AT PORT JEFFERSON FOR REHAB AND NRSG",335410
120,"PALMS REHABILITATION AND HEALTHCARE CENTER, THE",105985
120,"SPRING HILL HEALTH AND REHABILITATION CENTER",105996
120,"EVANS HEALTH CARE",106000
120,"TERRACE AT HOBE SOUND, THE",105300
120,"PALM GARDEN OF PINELLAS",105733
120,"LIFE CARE CENTER OF HILLIARD",105756
120,"CARRIAGE HOUSE NURSING AND REHAB",235599
120,"BRIDGEWATER HEALTHCARE CENTER",155790
120,"CYPRESS VILLAGE",105745
120,"SOLARIS HEALTHCARE OSCEOLA",105734
120,"PEACE CARE ST ANN'S",315413
120,"CONWAY LAKES HEALTH & REHABILITATION CENTER",105754
120,"HEARTLAND HEALTH CARE CENTER BOYNTON BEACH",105755
120,"WESTMINSTER TOWERS",105757
120,"TRINITAS HOSPITAL",315442
120,"ATLAS REHABILITATION AND HEALTHCARE AT MAYWOOD",315386
120,"SUMMER HILL NURSING HOME",315381
120,"LAKE PARK OF MADISON NURSING AND REHABILITATION CE",105892
120,"SUNSET LAKE HEALTH AND REHABILITATION CENTER",105761
120,"KA PUNAWAI OLA",125051
120,"SPECIALTY HEALTH AND REHABILITATION CENTER",105751
120,"HEARTLAND HEALTH CARE CENTER PROSPERITY OAKS",105762
120,"MACCLENNY NURSING AND REHAB CENTER",105737
120,"CASTLE PINES HEALTH AND REHABILITATION",675960
120,"ORCHID COVE AT DADE CITY",105320
120,"WINTER HAVEN FL OPCO LLC",105998
120,"CORTLANDT HEALTHCARE",335441
120,"OAK HAVEN REHAB AND NURSING CENTER",105302
120,"OAK GROVE NURSING HOME",676122
120,"ARDEN PLACE OF BEEVILLE",455923
120,"THE PEARL NURSING CENTER OF ROCHESTER",335439
120,"FAIRWAY OAKS CENTER",105305
120,"WINDSOR ATRIUM",676125
120,"EDWARDSVILLE NSG & REHAB CTR",145555
120,"ALARIS HEALTH AT WEST ORANGE",315449
120,"LITTLE NECK CARE CENTER",335434
120,"LIFE CARE CENTER OF OCALA",105999
120,"BYRON HEALTH CENTER",155364
120,"DOCTORS NURSING & REHAB CENTER",145247
120,"HERITAGE PARK CARE AND REHABILITATION CENTER",105529
120,"ORANGE CITY NURSING AND REHAB CENTER",105735
120,"PALM GARDEN OF SUN CITY",105736
120,"ELMS OF CRANBURY, THE",315451
120,"ELIZABETH CHURCH MANOR NURSING HOME",335090
120,"FOREST HILL HEALTHCARE CENTER",315375
120,"PROMEDICA SKILLED NURSING AND REHAB (TICE VALLEY)",555710
120,"WINGFIELD HILLS HEALTH & WELLNESS",295088
120,"FOUNTAINVIEW CTR FOR ALZHEIMER",115697
120,"PROMEDICA SKILLED NURSING & REHAB BARBERTON",365340
120,"PALM VISTA NURSING AND REHABILITATION CENTER",106089
120,"MANOR COURT OF CARBONDALE",146171
120,"HILLTOP CENTER",515061
120,"CLYDE E LASSEN STATE VETERANS NURSING HOME",106088
120,"NORTH SHORE HEALTH & REHAB FACILITY",065129
120,"MARQUIS CARE AT CENTENNIAL HILLS",295089
120,"LIFE CARE CENTER OF SOUTH LAS VEGAS",295076
120,"CANYON VISTA POST ACUTE",295093
120,"BELMONT LODGE HEALTHCARE CENTER",065169
120,"STONERISE MORGANTOWN",515058
120,"CARRIAGE INN OF STEUBENVILLE",365271
120,"RIVER OAKS HEALTH AND REHABILITATION CENTER",675018
120,"OLIVE VISTA BEHAVIORAL HEALTH CENTER",05A164
120,"SARASOTA POINT REHABILITATION CENTER",106102
120,"ROCK CREEK HEALTH AND REHABILITATION LLC",676235
120,"PAHRUMP HEALTH AND REHABILITATION CENTER",295075
120,"SILVER SPRING",676376
120,"CADIA REHABILITATION CAPITOL",085048
120,"GARDENS COURT",105921
120,"ADVENTHEALTH CARE CENTER ZEPHYRHILLS SOUTH",105658
